"gene","title","rho","SD","AVG","Young_1","Young_2","Young_3","Young_4","Old_1","Old_2","Old_3"
"Gale","UDP-galactose-4-epimerase",-0.219,0.662,2.291,1.969,3.12,2.939,1.437,2.656,2.369,1.548
"Galk1","galactokinase 1",-0.229,0.326,6.111,6.299,6.082,6.662,5.636,6.217,5.989,5.892
"Galk2","galactokinase 2",-0.216,0.25,3.961,3.852,4.024,4.264,4.01,3.485,3.938,4.157
"Galm","galactose mutarotase",0.33,0.667,1.486,0.405,1.318,2.556,1.366,1.153,1.797,1.808
"Galns","galactosamine (N-acetyl)-6-sulfatase",0.797,0.619,2.088,1.449,1.952,1.992,1.264,2.769,2.915,2.277
"Galnt1","polypeptide N-acetylgalactosaminyltransferase 1",-0.107,0.384,5.79,5.374,6.311,6.255,5.347,5.85,5.741,5.649
"Galnt10","polypeptide N-acetylgalactosaminyltransferase 10",0.55,0.346,4.952,4.535,5.152,5.041,4.486,4.851,5.181,5.418
"Galnt11","polypeptide N-acetylgalactosaminyltransferase 11",0.501,0.348,4.01,3.505,4.375,3.863,3.708,3.941,4.294,4.384
"Galnt16","polypeptide N-acetylgalactosaminyltransferase 16",0.665,1.092,0.774,0.571,0.157,0,0,0,2.405,2.282
"Galnt18","polypeptide N-acetylgalactosaminyltransferase 18",0.779,0.573,5.105,4.688,4.859,5.102,4.39,5.371,5.145,6.18
"Galnt2","polypeptide N-acetylgalactosaminyltransferase 2",0.404,1.328,2.023,1.609,2.638,1.198,0.735,2.824,0.785,4.371
"Galnt4","polypeptide N-acetylgalactosaminyltransferase 4",-0.372,0.25,4.902,4.789,5.298,5.041,4.777,4.508,5.023,4.882
"Galnt7","polypeptide N-acetylgalactosaminyltransferase 7",0.016,0.325,4.03,3.958,4.474,3.934,3.541,4.353,4.164,3.786
"Galntl5","polypeptide N-acetylgalactosaminyltransferase like",0.787,0.728,6.165,5.446,6.253,5.96,5.07,6.618,6.662,7.147
"Galt","galactose-1-phosphate uridylyltransferase",0.41,0.432,3.983,3.851,4.388,3.289,3.568,4.22,4.442,4.119
"Gamt","guanidinoacetate N-methyltransferase",0.16,0.373,5.028,5.176,5.184,4.987,4.354,5.454,5.296,4.748
"Gan","gigaxonin",0.489,0.384,2.219,2.247,2.334,1.73,1.804,2.601,2.057,2.758
"Ganab","glucosidase II alpha subunit",-0.647,0.724,3.843,4.539,4.501,4.119,3.655,3.677,2.405,4.006
"Ganc","glucosidase alpha, neutral C",-0.156,0.391,3.175,3.391,3.507,3.286,2.637,2.584,3.423,3.397
"Gapdh","glyceraldehyde-3-phosphate dehydrogenase",0.893,0.393,9.517,9.297,9.334,9.093,9.143,9.838,9.832,10.086
"Gapdhs","glyceraldehyde-3-phosphate dehydrogenase, spermato",-0.517,0.457,1.084,1.844,1.25,0.796,0.941,1.468,0.723,0.567
"Gapvd1","GTPase activating protein and VPS9 domains 1",0.439,0.213,5.883,5.748,5.88,6.091,5.491,6.096,5.996,5.878
"Gar1","GAR1 ribonucleoprotein",0.647,0.245,1.705,1.635,1.67,1.652,1.29,2.045,1.684,1.958
"Garnl3","GTPase activating Rap/RanGAP domain like 3",0.485,0.559,1.607,0.405,1.756,1.995,1.571,1.917,2.004,1.598
"Gars",NA,0.588,0.437,5.771,5.335,5.906,5.914,5.136,5.748,5.875,6.481
"Gart","phosphoribosylglycinamide formyltransferase, phosp",0.016,1.413,2.943,3.377,3.655,4.378,0.008,2.49,3.55,3.14
"Gas1","growth arrest specific 1",0.473,0.719,2.211,0.979,2.075,2.791,2.174,3.151,1.742,2.562
"Gas2","growth arrest specific 2",0.483,0.314,2.594,2.329,2.499,2.635,2.377,3.247,2.654,2.414
"Gas2l1","growth arrest specific 2 like 1",-0.33,0.378,4.586,4.875,4.806,4.886,4.056,4.95,4.175,4.353
"Gas2l3","growth arrest specific 2 like 3",-0.345,0.443,1.373,1.278,1.905,1.02,1.598,1.913,1.119,0.777
"Gas6","growth arrest specific 6",0.836,0.467,7.742,7.255,7.719,7.431,7.285,8.044,7.914,8.545
"Gas7","growth arrest specific 7",0.395,0.822,1.092,0,0.851,1.856,1.126,0.748,0.605,2.456
"Gas8","growth arrest specific 8",0.574,0.965,1.772,0,2.445,1.24,1.708,2.412,1.693,2.908
"Gata2","GATA binding protein 2",0.838,0.605,6.249,6.089,5.898,5.941,5.32,6.75,6.706,7.044
"Gata3","GATA binding protein 3",0.955,0.667,4.118,3.351,3.732,3.491,3.848,4.678,4.708,5.016
"Gata6","GATA binding protein 6",-0.259,0.606,2.102,1.969,2.6,2.885,1.353,2.464,2.138,1.307
"Gatad1","GATA zinc finger domain containing 1",-0.046,0.35,4.907,4.81,4.733,5.396,4.777,5.347,4.872,4.413
"Gatad2a","GATA zinc finger domain containing 2A",0.933,0.407,6.055,5.549,5.893,5.934,5.639,6.377,6.376,6.619
"Gatad2b","GATA zinc finger domain containing 2B",0.174,0.664,0.403,1.002,0,0,0,0.158,1.658,0
"Gatb","glutamyl-tRNA amidotransferase subunit B",-0.323,0.529,3.047,2.737,4.021,2.579,3.169,3.106,3.262,2.456
"Gatc","glutamyl-tRNA amidotransferase subunit C",0.005,0.295,4.478,4.355,4.89,4.615,3.986,4.512,4.301,4.688
"Gatm","glycine amidinotransferase",-0.51,0.44,3.858,4.234,4.267,3.396,3.998,4.233,3.698,3.183
"Gba","glucosylceramidase beta",0.369,0.294,5.978,5.891,5.996,6.25,5.377,6.187,6.16,5.988
"Gba2","glucosylceramidase beta 2",0.859,0.592,4.763,4.104,4.113,5.156,4.238,5.247,4.996,5.491
"Gbe1","1,4-alpha-glucan branching enzyme 1",0.767,0.365,4.403,3.991,4.399,4.457,3.835,4.796,4.634,4.712
"Gbp2","guanylate binding protein 2",0.768,0.788,6.462,5.669,6.305,6.532,5.501,6.558,6.783,7.886
"Gbp3","guanylate binding protein 3",0.73,0.368,6.06,5.465,5.881,6.234,5.967,6.19,6.015,6.667
"Gbp4","guanylate binding protein 4",-0.348,2.029,1.536,0,4.301,4.205,0,0,2.244,0
"Gbp7","guanylate binding protein 7",-0.012,0.383,5.645,5.232,6.083,5.883,5.502,5.148,5.587,6.081
"Gbp9",NA,0.648,0.507,5.87,5.251,5.958,5.812,5.484,6.083,5.678,6.826
"Gcat","glycine C-acetyltransferase",0.371,0.467,3.532,3.399,3.402,3.28,3.31,4.372,3.958,3.007
"Gcc1","GRIP and coiled-coil domain containing 1",-0.487,0.572,4.089,3.786,4.839,4.871,3.874,3.298,3.986,3.966
"Gcc2","GRIP and coiled-coil domain containing 2",-0.365,0.576,3.203,3.752,3.458,3.677,2.38,3.681,2.909,2.562
"Gcdh","glutaryl-CoA dehydrogenase",-0.067,0.418,4.342,3.752,5.09,4.401,4.166,4.202,4.596,4.188
"Gcfc2","GC-rich sequence DNA-binding factor 2",-0.345,0.473,1.119,0.856,1.815,0.694,1.626,0.91,0.607,1.327
"Gch1","GTP cyclohydrolase 1",-0.609,0.528,6.068,6.536,6.362,6.694,5.586,6.175,5.891,5.231
"Gchfr","GTP cyclohydrolase I feedback regulator",-0.047,0.572,2.225,2.24,2.98,1.415,1.96,2.963,2.133,1.885
"Gclc","glutamate-cysteine ligase catalytic subunit",0.178,0.411,3.88,3.786,3.929,3.923,3.492,4.632,4.033,3.369
"Gclm","glutamate-cysteine ligase modifier subunit",0.068,0.407,5.063,4.803,5.708,4.984,4.464,5.376,5.204,4.901
"Gcnt1","glucosaminyl (N-acetyl) transferase 1",-0.195,0.482,2.219,1.519,2.705,2.486,2.551,2.63,1.796,1.847
"Gcnt2","glucosaminyl (N-acetyl) transferase 2 (I blood gro",0.134,0.476,6.302,6.141,6.633,6.814,5.389,6.109,6.482,6.548
"Gcsh","glycine cleavage system protein H",-0.721,0.506,5.12,5.214,5.491,5.745,5.204,4.943,5.102,4.141
"Gda","guanine deaminase",0.201,0.413,5.981,5.692,6.301,6.311,5.255,6.341,6.172,5.797
"Gdap2","ganglioside induced differentiation associated pro",0.158,0.299,4.876,4.633,4.988,5.32,4.48,4.635,5.07,5.005
"Gde1","glycerophosphodiester phosphodiesterase 1",0.891,0.309,5.849,5.454,5.809,5.6,5.61,6.225,6.068,6.176
"Gdf10","growth differentiation factor 10",0.438,0.629,1.103,0.451,1.461,1.523,0,1.551,1.575,1.162
"Gdf11","growth differentiation factor 11",-0.406,0.546,2.208,1.778,2.801,3.067,1.96,2.305,1.95,1.595
"Gdf9","growth differentiation factor 9",0.011,0.685,0.519,0,0,1.652,0.941,0,0,1.041
"Gdi1","GDP dissociation inhibitor 1",0.401,0.2,7.111,7.055,7.287,7.013,6.727,7.254,7.266,7.177
"Gdi2","GDP dissociation inhibitor 2",0.186,0.209,8.691,8.333,8.974,8.814,8.521,8.718,8.788,8.689
"Gdpd1","glycerophosphodiester phosphodiesterase domain con",0.556,0.427,4.512,4.318,4.83,4.114,3.822,4.753,4.871,4.877
"Gdpd5","glycerophosphodiester phosphodiesterase domain con",0.819,0.751,3.067,2.135,2.748,3.228,2.361,3.003,3.711,4.281
"Gdpgp1","GDP-D-glucose phosphorylase 1",0.68,0.467,3.511,3.327,2.862,3.894,3.003,3.871,4.074,3.545
"Gem","GTP binding protein overexpressed in skeletal musc",-0.108,0.177,4.654,4.982,4.519,4.64,4.469,4.6,4.792,4.573
"Gemin2","gem nuclear organelle associated protein 2",-0.776,0.564,4.937,5.054,5.362,5.517,5.239,4.596,4.933,3.856
"Gemin4","gem nuclear organelle associated protein 4",0.5,0.478,3.599,3.694,3.465,2.957,3.257,3.987,4.399,3.434
"Gemin5","gem nuclear organelle associated protein 5",0.266,0.488,3.13,2.772,3.769,3.128,2.266,3.413,3.182,3.382
"Gemin6","gem nuclear organelle associated protein 6",-0.532,0.643,3.199,3.106,3.828,4.204,2.816,2.526,3.375,2.539
"Gemin7","gem nuclear organelle associated protein 7",-0.78,0.599,7.698,8.281,7.888,8.251,7.808,7.499,7.651,6.508
"Gemin8","gem nuclear organelle associated protein 8",0.025,0.399,2.648,2.604,2.281,3.205,2.58,3.186,2.233,2.443
"Gen1","GEN1 Holliday junction 5' flap endonuclease",-0.473,0.503,0.754,0.438,1.374,1.033,0.993,0,1.126,0.315
"Get4","guided entry of tail-anchored proteins factor 4",-0.161,0.259,6.984,6.989,7.034,7.241,6.754,7.092,7.243,6.533
"Gfer","growth factor, augmenter of liver regeneration",0.649,0.31,3.703,3.617,3.668,3.471,3.37,3.53,4.082,4.183
"Gfm1","G elongation factor mitochondrial 1",0.011,0.238,4.749,4.515,5.026,4.998,4.417,4.851,4.825,4.608
"Gfm2","GTP dependent ribosome recycling factor mitochondr",0.004,0.653,3.584,3.754,4.155,3.951,2.326,3.088,3.785,4.033
"Gfod1","glucose-fructose oxidoreductase domain containing ",0.386,0.743,5.078,4.144,5.614,5.625,3.962,5.231,5.839,5.128
"Gfod2","glucose-fructose oxidoreductase domain containing ",0.24,0.392,5.154,5.105,5.308,4.559,5.135,5.344,5.791,4.836
"Gfpt1","glutamine--fructose-6-phosphate transaminase 1",-0.411,0.451,2.244,2.903,2.703,1.903,1.806,2.289,1.742,2.361
"Gfpt2","glutamine-fructose-6-phosphate transaminase 2",0.023,0.794,1.247,1.093,1.568,2.076,0.337,1.238,0.177,2.244
"Gfra1","GDNF family receptor alpha 1",-0.02,0.623,0.438,1.199,0,0.441,0,0,1.429,0
"Gfra2","GDNF family receptor alpha 2",0.268,0.51,0.509,0,1.007,0.635,0,0,0.729,1.195
"Gga1","golgi associated, gamma adaptin ear containing, AR",0.793,1.245,1.337,0,1.071,0,1.169,1.192,2.571,3.358
"Gga2","golgi associated, gamma adaptin ear containing, AR",0.637,0.583,2.935,2.728,3.003,2.256,2.28,3.366,3.887,3.028
"Gga3","golgi associated, gamma adaptin ear containing, AR",0.59,0.35,3.404,2.742,3.685,3.392,3.147,3.609,3.555,3.698
"Ggact","gamma-glutamylamine cyclotransferase",0.499,0.257,2.05,1.646,1.98,2.193,2.008,2.263,2.402,1.861
"Ggct","gamma-glutamylcyclotransferase",-0.113,0.396,2.512,2.184,2.74,2.77,2.471,2.56,3.02,1.839
"Ggcx","gamma-glutamyl carboxylase",0.662,0.527,4.018,3.356,4.255,3.348,3.953,4.295,4.11,4.812
"Ggh","gamma-glutamyl hydrolase",-0.771,0.381,7.722,7.885,8.054,8.205,7.671,7.47,7.704,7.064
"Ggnbp1","gametogenetin binding protein 1 (pseudogene)",-0.789,0.489,0.938,1.289,1.514,1.485,0.653,0.363,0.836,0.426
"Ggnbp2","gametogenetin binding protein 2",0.699,0.43,6.241,5.754,5.975,6.641,5.693,6.525,6.736,6.361
"Ggps1","geranylgeranyl diphosphate synthase 1",-0.188,0.388,5.793,5.854,6.134,6.199,5.107,5.784,6.002,5.471
"Ggt5","gamma-glutamyltransferase 5",0.373,0.809,0.887,1.199,1.038,0,0.127,0.184,1.532,2.126
"Ggta1","glycoprotein alpha-galactosyltransferase 1 (inacti",0.273,0.43,7.713,7.392,8.106,8,6.948,7.725,7.683,8.138
"Ghdc","GH3 domain containing",0.437,0.511,3.802,3.585,4.033,3.316,3.271,4.604,4.279,3.529
"Ghitm","growth hormone inducible transmembrane protein",-0.571,0.208,8.874,8.766,9.182,9.108,8.817,8.731,8.908,8.602
"Ghr","growth hormone receptor",0.332,0.369,4.92,4.42,5.45,4.869,4.469,5.066,5.023,5.143
"Gid4","GID complex subunit 4 homolog",-0.065,0.302,4.068,4.505,4.108,4.047,3.552,4.114,3.864,4.284
"Gid8","GID complex subunit 8 homolog",-0.262,0.319,5.101,5.346,5.202,5.416,4.646,4.817,5.415,4.867
"Gigyf1","GRB10 interacting GYF protein 1",0.145,0.299,3.283,3.236,3.615,3.277,2.705,3.485,3.48,3.183
"Gigyf2","GRB10 interacting GYF protein 2",-0.704,0.653,4.62,4.664,5.099,5.653,4.606,4.499,4.251,3.568
"Gimap1","GTPase, IMAP family member 1",0.768,0.319,6.76,6.711,6.515,6.575,6.349,7.143,7.201,6.827
"Gimap3",NA,-0.604,0.371,5.782,6.41,6.013,5.911,5.365,5.441,5.817,5.52
"Gimap4","GTPase, IMAP family member 4",-0.23,0.321,7.618,7.415,7.883,8.068,7.447,7.109,7.696,7.711
"Gimap6","GTPase, IMAP family member 6",0.441,0.245,9.362,9.332,9.315,9.427,9.061,9.167,9.395,9.834
"Gimap8","GTPase, IMAP family member 8",-0.677,0.3,5.195,5.15,5.703,5.378,5.136,5.051,5.224,4.726
"Gimap9",NA,-0.817,0.498,6.068,6.34,6.648,6.648,5.875,5.877,5.789,5.3
"Ginm1","glycoprotein integral membrane 1",0.054,0.136,7.623,7.409,7.663,7.846,7.602,7.704,7.59,7.545
"Gins1","GINS complex subunit 1",-0.769,0.445,5.624,5.821,5.91,6.376,5.558,5.221,5.379,5.1
"Gins2","GINS complex subunit 2",-0.364,0.908,1.741,1.766,3.052,1.048,1.937,2.13,0.177,2.076
"Gins3","GINS complex subunit 3",0.435,0.634,2.757,2.333,3.229,1.987,2.251,3.377,3.606,2.518
"Gipc1","GIPC PDZ domain containing family member 1",-0.016,0.262,5.407,5.232,5.683,5.49,5.144,5.568,5.683,5.05
"Gipc2","GIPC PDZ domain containing family member 2",-0.682,0.731,1.126,1.297,2.242,0.767,1.506,1.468,0.605,0
"Gipc3","GIPC PDZ domain containing family member 3",0.568,0.661,1.833,0.856,1.818,2.466,1.21,2.181,1.625,2.675
"Git1","GIT ArfGAP 1",0.84,0.539,4.679,3.716,4.702,4.425,4.435,5.167,5.192,5.116
"Git2","GIT ArfGAP 2",0.813,0.551,6.419,5.991,6.414,5.879,5.834,6.579,7.134,7.104
"Gja1","gap junction protein alpha 1",0.453,0.266,9.352,9.057,9.547,9.498,8.9,9.371,9.54,9.548
"Gja4","gap junction protein alpha 4",0.536,0.237,6.628,6.501,6.671,6.626,6.218,6.942,6.853,6.587
"Gja5","gap junction protein alpha 5",-0.395,0.251,6.897,6.73,7.314,6.927,6.853,7.055,6.886,6.512
"Gjb1","gap junction protein beta 1",-0.335,1.06,0.737,2.993,0,0.162,0.609,0,1.03,0.366
"Gjb5","gap junction protein beta 5",0.145,0.537,0.407,1.093,0,0,0,1.153,0.605,0
"Gjc1","gap junction protein gamma 1",-0.353,0.354,3.756,3.797,4.326,3.968,3.214,3.526,3.858,3.604
"Gjc3","gap junction protein gamma 3",-0.572,0.514,1.071,1.45,1.628,1.422,0.508,1.31,0.878,0.3
"Gk5","glycerol kinase 5",-0.29,0.322,2.082,2.199,2.638,1.933,1.653,2.287,1.88,1.98
"Gkap1","G kinase anchoring protein 1",0.076,0.328,1.399,1.438,0.99,1.42,1.765,1.089,1.863,1.225
"Gkn3",NA,0.302,0.382,4.07,3.819,4.301,4.074,3.558,4.567,4.44,3.735
"Glb1","galactosidase beta 1",0.686,0.491,4.151,3.49,4.308,4.224,3.497,4.622,4.195,4.723
"Glb1l","galactosidase beta 1 like",-0.493,0.757,1.82,2.117,1.946,2.91,1.73,1.755,0.364,1.919
"Glcci1","glucocorticoid induced 1",0.203,0.492,3.758,3.918,3.872,4.074,2.676,4.11,3.9,3.755
"Glce","glucuronic acid epimerase",-0.194,0.508,6.324,5.846,7.047,6.968,5.768,6.094,6.364,6.18
"Gldc","glycine decarboxylase",0.51,0.822,0.982,0,1.445,0.562,0.479,0.626,2.474,1.289
"Gle1","GLE1 RNA export mediator",0.49,0.462,5.958,5.521,6.342,5.986,5.127,6.319,6.174,6.234
"Glg1","golgi glycoprotein 1",0.765,0.481,5.679,5.169,5.791,5.534,4.983,6.005,5.928,6.342
"Glipr2","GLI pathogenesis related 2",-0.465,0.828,2.151,1.844,2.915,1.948,3.063,1.604,2.858,0.823
"Glis2","GLIS family zinc finger 2",0.696,0.256,3.997,3.527,3.951,4.21,3.808,4.102,4.226,4.157
"Glmn","glomulin, FKBP associated protein",-0.557,0.528,3.887,4.117,4.482,4.273,3.458,3.567,4.256,3.054
"Glmp","glycosylated lysosomal membrane protein",0.772,0.48,7.091,7.131,6.82,6.719,6.358,7.423,7.495,7.69
"Glo1","glyoxalase I",0.258,0.309,6.609,6.394,6.956,6.723,6.022,6.653,6.798,6.716
"Glod4","glyoxalase domain containing 4",-0.727,0.311,6.609,6.734,7.089,6.831,6.429,6.329,6.657,6.194
"Glrx","glutaredoxin",-0.296,0.252,4.674,4.494,4.963,4.886,4.561,4.956,4.491,4.368
"Glrx2","glutaredoxin 2",-0.762,0.296,5.174,5.373,5.524,5.292,5.122,5.154,5.165,4.587
"Glrx3","glutaredoxin 3",-0.868,0.472,7.352,7.495,7.768,7.957,7.556,7.01,7.051,6.626
"Glrx5","glutaredoxin 5",-0.393,0.442,3.833,4.177,4,4.338,3.251,3.972,3.903,3.192
"Gls","glutaminase",-0.308,0.335,6.94,6.92,7.148,7.16,6.775,7.052,7.251,6.272
"Glt28d2",NA,0.503,0.613,3.164,2.19,3.079,3.477,2.967,4.035,3.647,2.752
"Glt8d1","glycosyltransferase 8 domain containing 1",-0.39,0.632,3.245,3.699,2.775,4.351,3.243,2.845,2.481,3.322
"Gltp","glycolipid transfer protein",0.551,0.278,5.769,5.391,6.039,5.656,5.467,5.823,5.878,6.127
"Glud1","glutamate dehydrogenase 1",0.257,0.414,7.486,7.027,7.836,7.923,6.851,7.409,7.575,7.779
"Glul","glutamate-ammonia ligase",0.07,0.505,6.41,5.843,7.003,6.984,5.737,6.242,6.433,6.625
"Glyctk","glycerate kinase",0.884,0.723,0.924,0,0.709,0.163,0.727,1.343,1.905,1.617
"Glyr1","glyoxylate reductase 1 homolog",0.429,0.367,5.985,5.407,6.434,5.732,5.811,5.955,6.331,6.224
"Gm10076",NA,-0.767,0.619,8.622,9.155,8.688,8.964,9.192,8.344,8.608,7.401
"Gm10175",NA,-0.549,0.243,6.408,6.436,6.754,6.579,6.227,6.214,6.568,6.076
"Gm10277",NA,-0.396,0.662,1.425,2.171,1.785,1.613,0.839,0.287,1.937,1.346
"Gm10282",NA,-0.326,0.371,2.935,2.815,2.834,3.121,3.574,2.338,2.893,2.968
"Gm10406",NA,-0.449,0.604,1.022,1.957,0.445,1.237,1.319,0.563,1.345,0.29
"Gm10409",NA,-0.578,0.589,1.964,2.197,1.981,2.687,2.301,0.839,2.1,1.642
"Gm10767",NA,-0.703,0.732,1.33,1.349,2.117,2.429,1.262,0.363,0.713,1.079
"Gm10778",NA,0.426,0.355,4.08,3.716,3.847,4.491,3.908,3.886,4.657,4.058
"Gm11127",NA,0.309,0.49,0.822,0.481,0.389,0.348,1.746,0.831,0.91,1.046
"Gm11808",NA,0.231,0.263,8.071,8.235,7.968,7.975,7.773,8.402,8.362,7.781
"Gm12166",NA,-0.244,1.516,1.733,0.924,1.516,1.139,4.948,2.219,0.752,0.636
"Gm12184",NA,-0.239,0.762,0.917,1.009,0,1.918,1.783,0.979,0,0.73
"Gm12185",NA,0.376,0.644,1.984,2.112,1.409,1.839,1.614,2.652,2.995,1.268
"Gm12216",NA,-0.727,0.526,3.477,3.681,4.232,3.621,3.458,3.756,2.694,2.896
"Gm12258",NA,0.693,0.62,1.491,1.778,0.452,1.478,0.839,1.947,2.133,1.808
"Gm13199",NA,-0.55,0.499,0.659,0.571,1.041,1.229,0.743,0,1.03,0
"Gm13212",NA,-0.108,0.537,1.195,0.939,2.053,1.405,0.436,0.782,1.566,1.187
"Gm13285",NA,0.832,0.509,1.085,0.459,0.945,0.625,0.877,1.496,1.91,1.28
"Gm14288",NA,0.604,0.361,1.34,0.898,1.033,1.559,1.274,1.959,1.16,1.495
"Gm14295",NA,-0.456,0.651,3.885,3.347,4.404,4.77,4.175,3.178,4.169,3.151
"Gm14296",NA,-0.869,0.711,3.743,3.974,4.512,4.536,4.071,3.05,2.749,3.312
"Gm14305",NA,-0.914,0.7,5.228,5.965,5.584,6.014,5.408,4.76,4.69,4.175
"Gm14308",NA,0,1.568,1.793,0.771,1.075,5.127,0.835,2.093,1.885,0.767
"Gm14322",NA,-0.505,0.437,2.185,2.004,2.134,2.947,2.626,1.774,1.974,1.838
"Gm14325",NA,-0.912,0.543,2.832,3.039,3.36,3.101,3.497,2.217,2.334,2.277
"Gm14326",NA,-0.78,0.722,4.486,4.814,4.979,5.509,4.507,3.783,4.431,3.375
"Gm14391",NA,-0.875,0.7,4.312,4.529,5.201,4.932,4.533,3.594,4.147,3.249
"Gm14393",NA,-0.641,0.422,2.084,2.418,1.929,2.323,2.609,1.684,2.198,1.429
"Gm14410",NA,-0.69,0.806,3.499,3.5,3.725,4.556,4.248,2.714,3.498,2.252
"Gm14418",NA,-0.374,0.786,2.494,3.104,2.337,3.362,2.137,1.538,3.359,1.62
"Gm14434",NA,-0.876,0.717,4.984,5.655,5.579,5.194,5.421,4.178,5.057,3.806
"Gm14496",NA,-0.738,0.269,1.425,1.389,1.701,1.684,1.57,1.481,1.173,0.974
"Gm14698",NA,-0.213,1.21,1.862,2.439,3.281,1.62,0.505,2.588,0,2.602
"Gm15446",NA,-0.481,0.968,2.673,3.778,2.424,4.3,1.808,2.165,1.933,2.306
"Gm1673",NA,0.905,0.361,1.425,1.093,1.103,1.415,1.036,1.735,1.95,1.64
"Gm2000",NA,-0.662,0.35,7.445,7.86,7.373,7.418,7.831,7.369,7.456,6.81
"Gm2026",NA,0.207,0.79,3.119,1.544,3.379,4.098,3.282,3.199,3.48,2.851
"Gm20498",NA,-0.815,0.507,3.455,3.957,3.97,3.805,3.285,2.995,3.529,2.643
"Gm20517",NA,-0.175,0.579,1.045,0.664,1.81,1.667,0.263,1.35,0.939,0.624
"Gm20594",NA,0.129,0.437,2.088,2.427,1.721,1.35,2.552,2.345,2.296,1.923
"Gm20604",NA,-0.459,0.581,4.728,4.89,4.888,5.46,4.469,4.986,4.815,3.591
"Gm21103",NA,-0.782,0.373,0.826,1.027,1.207,0.63,1.369,0.493,0.414,0.644
"Gm21244",NA,-0.29,0.315,1.171,1.258,1.467,1.409,0.764,0.889,1.52,0.893
"Gm21992",NA,-0.238,0.707,2.784,3.719,3.168,2.773,1.576,3.301,2.645,2.305
"Gm2237",NA,0.297,0.461,1.34,1.749,1.228,0.39,1.309,1.683,1.416,1.603
"Gm2244",NA,-0.924,0.404,0.803,1.258,1.159,1.168,0.778,0.634,0.303,0.32
"Gm2897",NA,-0.68,0.567,1.642,2.349,2.283,1.553,1.389,0.861,1.923,1.135
"Gm2974",NA,-0.074,0.394,1.087,1.207,1.038,1.18,0.877,1.557,1.401,0.35
"Gm2a","GM2 ganglioside activator",0.913,0.58,6.07,5.805,5.664,5.471,5.53,6.645,6.55,6.825
"Gm3264",NA,-0.69,0.582,1.04,1.358,1.718,1.759,0.525,1.012,0.428,0.479
"Gm3278",NA,0.035,0.554,0.685,0,1.514,0,1.089,0.684,0.601,0.904
"Gm3411",NA,-0.473,0.517,1.871,2.024,2.644,2.108,1.275,1.642,2.183,1.221
"Gm3488",NA,-0.289,0.415,2.308,2.187,2.562,2.753,2.076,2.851,1.943,1.786
"Gm3558",NA,-0.255,0.476,2.553,3.498,2.106,2.564,2.293,2.486,2.763,2.162
"Gm3604",NA,0.341,0.853,1.005,0.405,0.793,1.68,0.609,0,1.013,2.533
"Gm3629",NA,-0.766,0.647,2.174,2.278,2.782,2.946,2.275,2.237,1.632,1.067
"Gm3636",NA,-0.828,0.488,2.471,3.252,2.559,2.746,2.646,1.988,1.803,2.306
"Gm3667",NA,-0.257,0.523,2.975,2.595,3.252,3.676,2.974,2.214,3.467,2.648
"Gm3696",NA,0.346,0.497,0.959,0.777,0,1.552,1.23,1.252,1.053,0.849
"Gm3739",NA,-0.496,0.479,0.688,1.543,1.094,0.326,0.298,0.41,0.356,0.789
"Gm4450",NA,-0.933,0.807,1.942,2.729,2.748,2.035,2.545,1.047,1.742,0.749
"Gm4724",NA,-0.871,0.711,4.873,5.374,5.534,5.14,5.531,3.88,3.969,4.685
"Gm4737",NA,-0.565,1.278,0.991,0,1.67,2.681,2.588,0,0,0
"Gm4767",NA,0.169,0.612,1.976,1.516,2.133,2.632,1.418,1.221,2.801,2.113
"Gm4841",NA,-0.752,0.714,1.122,1.042,2.003,1.921,1.411,0,0.782,0.697
"Gm4924",NA,0.034,0.493,0.92,0.41,0.778,1.387,1.148,1.367,1.218,0.133
"Gm4951",NA,0.528,0.73,2.646,2.436,1.729,2.084,3.357,2.708,2.376,3.835
"Gm5141",NA,0.218,0.613,0.742,0,1.539,0.951,0.015,1.026,0.385,1.278
"Gm5148",NA,-0.805,0.6,6.483,7.261,6.596,6.557,6.957,6.245,6.398,5.367
"Gm525",NA,-0.286,0.513,3.176,3.26,3.12,3.742,3.017,3.376,3.562,2.158
"Gm5431",NA,0.515,0.296,1.236,0.761,1.229,1.481,1.133,1.053,1.33,1.668
"Gm5464",NA,-0.149,0.619,1.38,2.2,0.777,1.805,0.961,2.073,0.858,0.99
"Gm5617",NA,-0.709,0.591,3.539,4.209,3.744,4.022,3.387,3.413,3.609,2.388
"Gm609",NA,-0.258,0.797,1.205,1.008,2.558,0.166,1.297,1.822,1.05,0.537
"Gm6710",NA,-0.759,0.722,3.934,3.793,4.542,5.03,4.336,3.492,3.261,3.083
"Gm7008",NA,0.114,0.566,1.315,1.044,1.213,2.317,0.567,1.775,1.181,1.107
"Gm8108",NA,0.614,0.795,0.441,0,0,0,0.001,1.097,1.988,0
"Gm8271",NA,0.144,0.711,0.688,0,0,1.587,1.313,0,1.325,0.589
"Gm8281",NA,-0.905,0.688,2.035,3.063,2.758,2.202,1.862,1.533,1.716,1.113
"Gm8909",NA,0.904,0.995,0.893,0.422,0,0.169,0,2.165,1.233,2.26
"Gm9602",NA,-0.474,0.676,0.669,1.706,0,1.058,1.001,0,0.916,0
"Gm9774",NA,-0.164,0.584,1.788,2.552,2,1.549,1.175,1.807,1.02,2.415
