gene_name,gene_title,chr,logFC,stars,meta.q,AveExpr0,AveExpr1,UP/DOWN
Tbc1d8,"TBC1 domain family, member 8",1,1.215422228,★,0.032920615,2.442147829,3.657570057,UP
Ift122,intraflagellar transport 122,6,1.215185052,★,0.01910287,3.016420785,4.231605837,UP
Cad,"carbamoyl-phosphate synthetase 2, aspartate transc...",5,1.21518175,★,0.028212995,2.277830351,3.493012101,UP
Lzts1,"leucine zipper, putative tumor suppressor 1",8,1.214963422,★,0.024101097,2.719733997,3.93469742,UP
Notch3,notch 3,17,1.21445436,★,0.026743057,2.989068093,4.203522453,UP
Phf1,PHD finger protein 1,17,1.212708218,★,0.036625186,2.247373368,3.460081586,UP
Slc16a11,solute carrier family 16 (monocarboxylic acid tran...,11,1.211245679,★,0.028212995,2.432413534,3.643659213,UP
Vil1,villin 1,1,1.210594394,★,0.035321666,0.411123303,1.621717697,UP
Tmsb10,"thymosin, beta 10",6,-1.209321739,★,0.002739261,7.989959202,6.780637463,DOWN
P2rx7,"purinergic receptor P2X, ligand-gated ion channel,...",5,1.201947223,★,0.034940437,2.688719668,3.890666891,UP
Acer3,alkaline ceramidase 3,7,-1.200366876,★,0.005341783,6.332543851,5.132176975,DOWN
Bbs4,Bardet-Biedl syndrome 4 (human),9,1.200197137,★,0.030429788,2.372578504,3.572775642,UP
Cndp2,CNDP dipeptidase 2 (metallopeptidase M20 family),18,1.200004775,★,0.006422327,4.928731395,6.12873617,UP
Gpx1,glutathione peroxidase 1,9,-1.199341675,★,0.000436173,10.41852192,9.219180247,DOWN
Tuba1a,"tubulin, alpha 1A",15,-1.198741154,★,4.52E-05,11.73678338,10.53804222,DOWN
Tmem256,transmembrane protein 256,11,-1.197502656,★,0.004903716,7.743984185,6.546481529,DOWN
Atp8b1,"ATPase, class I, type 8B, member 1",18,-1.196707578,★,0.031171758,4.556655596,3.359948018,DOWN
Robo4,roundabout guidance receptor 4,9,1.196581708,★,0.002562931,5.93221194,7.128793649,UP
Cactin,"cactin, spliceosome C complex subunit",10,1.19524495,★,0.020397367,2.927098818,4.122343769,UP
Ivd,isovaleryl coenzyme A dehydrogenase,2,1.194677774,★,0.020135278,3.219576364,4.414254138,UP
Gm4724,predicted gene 4724,2,-1.193593591,★,0.009745594,5.383238914,4.189645323,DOWN
Plat,"plasminogen activator, tissue",8,1.192564894,★,0.006446855,4.774177777,5.966742671,UP
2200002D01Rik,RIKEN cDNA 2200002D01 gene,7,-1.189532703,★,0.023601971,4.774870728,3.585338025,DOWN
Pde2a,"phosphodiesterase 2A, cGMP-stimulated",7,1.188456868,★,0.027188031,4.407223877,5.595680745,UP
Emilin1,elastin microfibril interfacer 1,5,1.188390525,★,0.022459353,3.870383841,5.058774366,UP
Vcpkmt,valosin containing protein lysine (K) methyltransf...,12,-1.187812956,★,0.037658871,2.951685136,1.76387218,DOWN
Gm14296,predicted gene 14296,2,-1.187521406,★,0.022199099,4.24889789,3.061376484,DOWN
Ptk2,PTK2 protein tyrosine kinase 2,15,1.187386792,★,0.010049645,4.579156779,5.766543571,UP
Akap8l,A kinase (PRKA) anchor protein 8-like,17,1.187309069,★,0.044850107,2.410718169,3.598027238,UP
Lta4h,leukotriene A4 hydrolase,10,1.184173795,★,0.003619684,5.925241695,7.10941549,UP
Pabpc4l,"poly(A) binding protein, cytoplasmic 4-like",3,-1.183845395,★,0.042811494,1.448122299,0.264276905,DOWN
Gm14305,predicted gene 14305,2,-1.183383288,★,0.008054082,5.73373242,4.550349132,DOWN
Atp6v0a1,"ATPase, H+ transporting, lysosomal V0 subunit A1",11,1.181477556,★,0.013793489,3.743932687,4.925410243,UP
Adam22,a disintegrin and metallopeptidase domain 22,5,1.180988059,★,0.025561159,3.10671769,4.287705749,UP
Armc7,armadillo repeat containing 7,11,1.178887831,★,0.041136069,1.90002846,3.078916291,UP
Vars,valyl-tRNA synthetase,17,1.177189037,★,0.011067779,4.101676268,5.278865304,UP
Vat1,vesicle amine transport 1,11,1.177084138,★,0.005569397,4.668214239,5.845298377,UP
Pcdhgb6,"protocadherin gamma subfamily B, 6",18,1.173484936,★,0.048251656,2.319319741,3.492804677,UP
Atg9a,autophagy related 9A,1,1.172464826,★,0.007695748,4.584079592,5.756544418,UP
Wfs1,wolframin ER transmembrane glycoprotein,5,1.171679811,★,0.034558412,2.747834328,3.919514139,UP
Spsb1,splA/ryanodine receptor domain and SOCS box contai...,4,1.171235457,★,0.043026076,2.740925649,3.912161106,UP
Loxl1,lysyl oxidase-like 1,9,1.170735699,★,0.041136069,0.409194638,1.579930337,UP
Tnfrsf21,"tumor necrosis factor receptor superfamily, member...",17,1.170460677,★,0.002211937,5.915556786,7.086017463,UP
Nabp1,nucleic acid binding protein 1,1,-1.169522072,★,0.026515843,4.96943817,3.799916098,DOWN
Pik3r2,phosphoinositide-3-kinase regulatory subunit 2,8,1.169325898,★,0.043365117,2.097862303,3.267188201,UP
Ssu2,ssu-2 homolog (C. elegans),6,-1.16814139,★,0.007111325,6.512763609,5.344622219,DOWN
Adamts9,a disintegrin-like and metallopeptidase (reprolysi...,6,-1.167480366,★,0.022721915,5.036812102,3.869331736,DOWN
Sf3b2,"splicing factor 3b, subunit 2",19,1.166348686,★,0.005632142,4.970772361,6.137121047,UP
Lrrc47,leucine rich repeat containing 47,4,1.163290153,★,0.027190266,2.876964028,4.04025418,UP
Gata3,GATA binding protein 3,2,1.162393618,★,0.013355455,3.621789731,4.784183349,UP
Gm4450,predicted gene 4450,3,-1.161705521,★,0.045952379,2.427743001,1.266037479,DOWN
Tbc1d32,"TBC1 domain family, member 32",10,1.161398067,★,0.049696141,1.187027917,2.348425983,UP
Rpn2,ribophorin II,2,1.161020708,★,0.002104395,7.112055127,8.273075835,UP
Mbtps1,"membrane-bound transcription factor peptidase, sit...",8,1.160637488,★,0.029235785,3.912227885,5.072865374,UP
Chp2,calcineurin-like EF hand protein 2,7,-1.159098276,★,0.037894685,4.452277588,3.293179312,DOWN
Rcsd1,RCSD domain containing 1,1,1.158871398,★,0.007748044,4.996298267,6.155169665,UP
Trp53,transformation related protein 53,11,1.158794137,★,0.003899974,5.427824032,6.586618169,UP
Cdh13,cadherin 13,8,1.158777055,★,0.002777904,7.800921856,8.959698911,UP
Pygl,liver glycogen phosphorylase,12,1.15523815,★,0.045126353,0.680838818,1.836076968,UP
Fbln2,fibulin 2,6,1.154921292,★,0.002739926,8.00232825,9.157249542,UP
Ciz1,CDKN1A interacting zinc finger protein 1,2,1.154477081,★,0.040893208,2.69618498,3.850662061,UP
Pdlim2,PDZ and LIM domain 2,14,-1.153377355,★,0.030936147,4.58119659,3.427819235,DOWN
Ift140,intraflagellar transport 140,17,1.151450374,★,0.039222285,2.221139967,3.372590341,UP
Art3,ADP-ribosyltransferase 3,5,1.151399193,★,0.014009718,5.348605896,6.500005089,UP
Eif3d,"eukaryotic translation initiation factor 3, subuni...",15,1.150747373,★,0.003899974,5.582525903,6.733273276,UP
Zdhhc8,"zinc finger, DHHC domain containing 8",16,1.147399869,★,0.026325425,2.969774063,4.117173932,UP
Tbx3,T-box 3,5,1.147117737,★,0.016361878,3.749607074,4.896724812,UP
Tmem104,transmembrane protein 104,11,1.146934273,★,0.021298317,3.295728277,4.44266255,UP
Med25,mediator complex subunit 25,7,1.146835524,★,0.038526529,1.769606384,2.916441908,UP
Sphk2,sphingosine kinase 2,7,1.146206705,★,0.016361878,3.536174819,4.682381524,UP
Slc26a10,"solute carrier family 26, member 10",10,1.145655426,★,0.001091624,7.163525536,8.309180962,UP
Plxnd1,plexin D1,6,1.14487727,★,0.002777904,6.314131227,7.459008497,UP
Kdelr3,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum prote...,15,-1.142174447,★,0.039174862,3.535857883,2.393683436,DOWN
Mob3b,MOB kinase activator 3B,4,1.140887799,★,0.045952379,1.595127009,2.736014808,UP
Afap1l1,actin filament associated protein 1-like 1,18,1.139595586,★,0.006812955,5.675138963,6.814734548,UP
Slc20a2,"solute carrier family 20, member 2",8,1.138957965,★,0.03429581,2.755346742,3.894304707,UP
Timm9,translocase of inner mitochondrial membrane 9,12,-1.138880941,★,0.030574643,5.031242731,3.89236179,DOWN
Klhl36,kelch-like 36,8,1.135052684,★,0.027473024,3.18252481,4.317577494,UP
Gng10,"guanine nucleotide binding protein (G protein), ga...",4,-1.133358784,★,0.007999632,7.221515076,6.088156292,DOWN
Scarf1,"scavenger receptor class F, member 1",11,1.132752124,★,0.004019947,6.05258361,7.185335734,UP
Slc9a3r1,solute carrier family 9 (sodium/hydrogen exchanger...,11,1.132639435,★,0.027864459,3.314803735,4.44744317,UP
Nutf2,nuclear transport factor 2,8,-1.131894353,★,0.044850107,4.201797819,3.069903466,DOWN
Flii,flightless I actin binding protein,11,1.131665026,★,0.012639816,4.813399018,5.945064045,UP
Adm,adrenomedullin,7,1.131434103,★,0.006504794,5.191393923,6.322828026,UP
Trib3,tribbles pseudokinase 3,2,1.131163762,★,0.009721001,5.045050487,6.176214249,UP
Tob2,"transducer of ERBB2, 2",15,1.129517205,★,0.011116599,4.193154157,5.322671363,UP
Ccdc71,coiled-coil domain containing 71,9,1.129156977,★,0.016361878,4.325621137,5.454778114,UP
Gm14410,predicted gene 14410,2,-1.127339493,★,0.047168688,3.977986467,2.850646974,DOWN
Pip5k1c,"phosphatidylinositol-4-phosphate 5-kinase, type 1 ...",10,1.127263373,★,0.012811446,4.167975123,5.295238496,UP
Lipe,"lipase, hormone sensitive",7,1.12511239,★,0.036671224,5.459598016,6.584710406,UP
Cryl1,"crystallin, lambda 1",14,1.123702471,★,0.032038096,3.30822624,4.43192871,UP
Sik3,SIK family kinase 3,9,1.122990261,★,0.044217373,2.636400391,3.759390653,UP
Rarg,"retinoic acid receptor, gamma",15,1.122266837,★,0.009721001,4.335104535,5.457371372,UP
Dhx8,DEAH (Asp-Glu-Ala-His) box polypeptide 8,11,1.121953166,★,0.034214406,3.340930214,4.46288338,UP
Inpp5b,inositol polyphosphate-5-phosphatase B,4,1.121583204,★,0.015216325,4.045114778,5.166697983,UP
Pygb,brain glycogen phosphorylase,2,1.121554489,★,0.016361878,4.183164041,5.304718531,UP
Gnl1,guanine nucleotide binding protein-like 1,17,1.120244735,★,0.027429293,3.017158034,4.137402769,UP
Rara,"retinoic acid receptor, alpha",11,1.120067026,★,0.028899898,2.956420512,4.076487539,UP
Galntl5,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-a...,5,1.11861048,★,0.008225753,5.686114485,6.804724965,UP
Acyp1,"acylphosphatase 1, erythrocyte (common) type",12,-1.117471707,★,0.041471457,4.030780565,2.913308858,DOWN
Cd300lg,CD300 molecule like family member G,11,1.117287889,★,0.000568161,10.44587797,11.56316586,UP
Pcdhb16,protocadherin beta 16,18,-1.116771346,★,0.046593927,4.1811615,3.064390154,DOWN
Nrp1,neuropilin 1,8,1.115575741,★,0.028240792,8.625394978,9.740970719,UP
Gper1,G protein-coupled estrogen receptor 1,5,1.113638273,★,0.020222792,3.558520856,4.672159129,UP
Hspb11,"heat shock protein family B (small), member 11",4,-1.113404317,★,0.045239868,3.782519617,2.6691153,DOWN
Tap1,"transporter 1, ATP-binding cassette, sub-family B ...",17,1.108837811,★,0.004190723,6.237036218,7.345874029,UP
Gm6710,predicted gene 6710,2,-1.108264184,★,0.036016069,4.406022482,3.297758298,DOWN
Sun2,Sad1 and UNC84 domain containing 2,15,1.107807326,★,0.006982868,5.288821799,6.396629125,UP
Ptprr,"protein tyrosine phosphatase, receptor type, R",10,-1.104570282,★,0.002798031,8.196534534,7.091964252,DOWN
Tma7,translational machinery associated 7,9,-1.10408977,★,0.007454921,7.065847058,5.961757287,DOWN
Gm14391,predicted gene 14391,2,-1.103865347,★,0.026838706,4.783065386,3.679200038,DOWN
Ppm1g,"protein phosphatase 1G (formerly 2C), magnesium-de...",5,1.103104989,★,0.011197829,4.535278051,5.63838304,UP
Ackr1,atypical chemokine receptor 1 (Duffy blood group),1,-1.100108818,★,0.019097584,6.195141645,5.095032827,DOWN
Triobp,TRIO and F-actin binding protein,15,1.099959219,★,0.006422327,5.090524905,6.190484123,UP
Trim28,tripartite motif-containing 28,7,1.099750613,★,0.019488675,4.025614983,5.125365596,UP
Plbd2,phospholipase B domain containing 2,5,1.098240321,★,0.010982934,5.12448641,6.22272673,UP
Pxdn,peroxidasin,12,1.098179356,★,0.005063892,6.454195228,7.552374584,UP
Ipo13,importin 13,4,1.097382304,★,0.026834482,3.415924989,4.513307293,UP
Rps27l,ribosomal protein S27-like,9,-1.095773147,★,0.005959023,8.688459978,7.592686831,DOWN
Unc93b1,"unc-93 homolog B1, TLR signaling regulator",19,1.095451749,★,0.012639816,4.898686782,5.994138531,UP
Nuak2,"NUAK family, SNF1-like kinase, 2",1,1.095322473,★,0.032981724,3.211580734,4.306903207,UP
Gm14434,predicted gene 14434,2,-1.094529346,★,0.020848484,5.451958026,4.35742868,DOWN
Tmem115,transmembrane protein 115,9,1.094405585,★,0.006868037,5.344319352,6.438724937,UP
Vcp,valosin containing protein,4,1.093077122,★,0.005180791,6.500324115,7.593401238,UP
Vps37b,vacuolar protein sorting 37B,5,1.092770055,★,0.02931886,3.573810438,4.666580493,UP
Cep85l,centrosomal protein 85-like,10,1.092078522,★,0.007861551,5.727878367,6.819956889,UP
Ndufb6,NADH:ubiquinone oxidoreductase subunit B6,4,-1.091351203,★,0.006550588,8.107616935,7.016265732,DOWN
Scpep1,serine carboxypeptidase 1,11,1.090270898,★,0.018625504,4.397366947,5.487637846,UP
Tpst1,protein-tyrosine sulfotransferase 1,5,1.089855791,★,0.007813256,6.840332281,7.930188072,UP
Txndc17,thioredoxin domain containing 17,11,-1.089748505,★,0.008497783,8.124997555,7.03524905,DOWN
Hspg2,perlecan (heparan sulfate proteoglycan 2),4,1.087617722,★,0.00177266,8.170054186,9.257671908,UP
Ecm1,extracellular matrix protein 1,3,1.08758607,★,0.040211662,3.603909261,4.691495331,UP
Pear1,platelet endothelial aggregation receptor 1,3,1.087291251,★,0.006775886,5.419500865,6.506792116,UP
Slfn2,schlafen 2,11,-1.085082717,★,0.004019947,7.413304248,6.328221532,DOWN
N4bp3,NEDD4 binding protein 3,11,1.083323809,★,0.006104452,6.068113237,7.151437046,UP
Strip1,striatin interacting protein 1,3,1.081724756,★,0.009668374,4.883553845,5.965278601,UP
L3mbtl2,L3MBTL2 polycomb repressive complex 1 subunit,15,1.081479806,★,0.039404447,2.888403181,3.969882987,UP
Ier3,immediate early response 3,17,1.079105432,★,0.007748044,5.78458155,6.863686981,UP
Zbed3,"zinc finger, BED type containing 3",13,1.078211035,★,0.017973144,3.953078306,5.031289341,UP
Tnfaip1,"tumor necrosis factor, alpha-induced protein 1 (en...",11,1.078106088,★,0.001953244,7.902100988,8.980207077,UP
Sox7,SRY (sex determining region Y)-box 7,14,1.07793401,★,0.001249212,7.920107475,8.998041485,UP
Copg1,"coatomer protein complex, subunit gamma 1",6,1.077643269,★,0.021324082,5.007395569,6.085038838,UP
Micall2,MICAL-like 2,5,1.077346316,★,0.043489309,3.097626407,4.174972723,UP
Sult1a1,"sulfotransferase family 1A, phenol-preferring, mem...",7,1.076057998,★,0.000436173,9.330798028,10.40685603,UP
Nup188,nucleoporin 188,2,1.074710901,★,0.043774781,2.797704216,3.872415117,UP
Ncoa6,nuclear receptor coactivator 6,2,-1.074507762,★,0.020848484,5.929717782,4.85521002,DOWN
Ndrg1,N-myc downstream regulated gene 1,15,1.074363197,★,0.005911065,8.09696821,9.171331407,UP
Srsf4,serine and arginine-rich splicing factor 4,4,1.072488648,★,0.038526529,3.619809086,4.692297733,UP
Sncaip,"synuclein, alpha interacting protein (synphilin)",18,1.070679274,★,0.032632002,3.306081624,4.376760897,UP
Ece2,endothelin converting enzyme 2,16,-1.06999529,★,0.028899898,4.71237157,3.642376279,DOWN
Lgals3,"lectin, galactose binding, soluble 3",14,1.068243424,★,0.022721915,4.799556606,5.86780003,UP
Gbp2,guanylate binding protein 2,3,1.068162087,★,0.034214406,6.004777787,7.072939874,UP
Ralgds,ral guanine nucleotide dissociation stimulator,2,1.067930019,★,0.036671224,4.109073859,5.177003878,UP
Aldh3a2,"aldehyde dehydrogenase family 3, subfamily A2",11,1.06729418,★,0.005475137,6.163727759,7.231021939,UP
Tfip11,tuftelin interacting protein 11,5,1.066358718,★,0.029587311,4.086589567,5.152948285,UP
Dcxr,dicarbonyl L-xylulose reductase,11,1.065650512,★,0.013977696,5.154093498,6.21974401,UP
Mfge8,milk fat globule-EGF factor 8 protein,7,1.063290131,★,0.010690375,8.147056697,9.210346828,UP
Sh3glb2,SH3-domain GRB2-like endophilin B2,2,1.063197474,★,0.006529972,5.441419908,6.504617383,UP
Gm14326,predicted gene 14326,2,-1.062115327,★,0.035090915,4.938893187,3.876777861,DOWN
Uqcc2,ubiquinol-cytochrome c reductase complex assembly ...,17,-1.060811492,★,0.019713747,6.687237946,5.626426454,DOWN
Cxxc5,CXXC finger 5,18,1.059575066,★,0.032981724,3.582357691,4.641932757,UP
Rasip1,Ras interacting protein 1,7,1.059197948,★,0.002777904,6.687691868,7.746889816,UP
Sf3b4,"splicing factor 3b, subunit 4",3,1.058900573,★,0.012811446,4.538131489,5.597032062,UP
Msantd4,Myb/SANT-like DNA-binding domain containing 4 with...,9,-1.058110839,★,0.038048536,4.719389527,3.661278689,DOWN
Timm8a1,translocase of inner mitochondrial membrane 8A1,10,-1.057026187,★,0.034031555,4.499193534,3.442167347,DOWN
Nr1h2,"nuclear receptor subfamily 1, group H, member 2",7,1.056552002,★,0.016470352,4.539418022,5.595970024,UP
Sec61b,Sec61 beta subunit,4,-1.054774131,★,0.008906898,7.607606647,6.552832516,DOWN
Eng,endoglin,2,1.053052429,★,0.00792486,9.758869977,10.81192241,UP
Efemp2,epidermal growth factor-containing fibulin-like ex...,19,1.052847713,★,0.043489309,3.122658204,4.175505917,UP
Eef2,eukaryotic translation elongation factor 2,10,1.050665586,★,0.002029512,8.478438137,9.529103723,UP
Fbxw8,F-box and WD-40 domain protein 8,5,1.050649835,★,0.033800501,3.630209187,4.680859023,UP
Tbc1d22a,"TBC1 domain family, member 22a",15,1.049828345,★,0.009887441,5.170268627,6.220096972,UP
Ddx10,DEAD box helicase 10,9,1.048664532,★,0.049401769,2.498869192,3.547533724,UP
Sec11c,"SEC11 homolog C, signal peptidase complex subunit",18,-1.04851529,★,0.019722699,6.104886015,5.056370725,DOWN
Gm2a,GM2 ganglioside activator protein,11,1.048501737,★,0.006529972,5.621140364,6.669642101,UP
Apoe,apolipoprotein E,7,1.047953909,★,0.000560907,9.619413491,10.6673674,UP
G6pdx,glucose-6-phosphate dehydrogenase X-linked,X,1.046015442,★,0.026834482,3.657894171,4.703909613,UP
Adora2a,adenosine A2a receptor,10,1.046000703,★,0.01512619,4.835682432,5.881683135,UP
Otud6b,OTU domain containing 6B,4,1.045663712,★,0.034214406,3.716633061,4.762296773,UP
Tmcc3,transmembrane and coiled coil domains 3,10,1.045443348,★,0.006504794,6.533416494,7.578859841,UP
Upf3a,UPF3 regulator of nonsense transcripts homolog A (...,8,1.044147865,★,0.048413936,2.971637634,4.015785499,UP
Ly6e,"lymphocyte antigen 6 complex, locus E",15,1.042715898,★,0.00106225,10.04834737,11.09106327,UP
Nos3,"nitric oxide synthase 3, endothelial cell",5,1.040426923,★,0.007548957,6.49330915,7.533736073,UP
Zswim1,zinc finger SWIM-type containing 1,2,1.04003334,★,0.032093907,3.745587669,4.785621009,UP
Ctsa,cathepsin A,2,1.039014969,★,0.00792486,6.442797412,7.481812381,UP
Sox18,SRY (sex determining region Y)-box 18,2,1.038966025,★,0.001771595,9.037582677,10.0765487,UP
Daxx,Fas death domain-associated protein,17,1.037503648,★,0.036199307,3.478512974,4.516016622,UP
Fmo2,flavin containing monooxygenase 2,1,1.037486553,★,0.005578299,6.941319447,7.978806,UP
Tmem208,transmembrane protein 208,8,-1.037112722,★,0.012639816,7.117669102,6.08055638,DOWN
Bcam,basal cell adhesion molecule,7,1.035936751,★,0.002777904,8.383721517,9.419658267,UP
Pik3ip1,phosphoinositide-3-kinase interacting protein 1,11,1.035516255,★,0.014278176,5.312708115,6.348224371,UP
Natd1,N-acetyltransferase domain containing 1,11,1.034576371,★,0.032347238,3.647997579,4.68257395,UP
Chst14,carbohydrate sulfotransferase 14,2,1.033026758,★,0.012639816,4.698746551,5.731773309,UP
Man2c1,"mannosidase, alpha, class 2C, member 1",9,1.031544365,★,0.034300254,3.538113748,4.569658113,UP
Mrpl20,mitochondrial ribosomal protein L20,4,-1.031249627,★,0.011286381,7.4822275,6.450977873,DOWN
Tmem106a,transmembrane protein 106A,11,1.029746709,★,0.037894685,3.462650019,4.492396728,UP
Dnm1l,dynamin 1-like,16,1.028968734,★,0.026834482,4.033178435,5.062147169,UP
Naga,"N-acetyl galactosaminidase, alpha",15,1.026937244,★,0.027473024,4.425016905,5.451954148,UP
Cbfa2t3,CBFA2/RUNX1 translocation partner 3,8,1.025853914,★,0.036199307,4.044515171,5.070369085,UP
Zfp444,zinc finger protein 444,7,1.025665879,★,0.045166241,3.442102547,4.467768426,UP
Dag1,dystroglycan 1,9,1.025276933,★,0.015904425,5.985450274,7.010727208,UP
Lrp10,low-density lipoprotein receptor-related protein 1...,14,1.024252733,★,0.009840522,6.125500292,7.149753025,UP
Slc16a2,solute carrier family 16 (monocarboxylic acid tran...,X,1.023438642,★,0.034214406,3.807001998,4.83044064,UP
Ednrb,endothelin receptor type B,14,1.021420082,★,0.018598061,5.661301557,6.682721639,UP
Atox1,antioxidant 1 copper chaperone,11,-1.020992807,★,0.006104452,8.125400047,7.10440724,DOWN
Lsm5,"LSM5 homolog, U6 small nuclear RNA and mRNA degrad...",6,-1.020361424,★,0.025690592,6.177251586,5.156890161,DOWN
Ddx28,DEAD box helicase 28,8,1.019167277,★,0.040771846,3.364159017,4.383326294,UP
Hint3,histidine triad nucleotide binding protein 3,10,-1.018296832,★,0.022963822,6.034652466,5.016355634,DOWN
Pparg,peroxisome proliferator activated receptor gamma,6,1.018245573,★,0.046505253,4.0869851,5.105230673,UP
Maged2,MAGE family member D2,X,1.018042696,★,0.040548658,3.179651665,4.19769436,UP
Ndufb2,NADH:ubiquinone oxidoreductase subunit B2,6,-1.017415462,★,0.024101097,6.923838485,5.906423024,DOWN
Asb6,ankyrin repeat and SOCS box-containing 6,2,1.016936799,★,0.026834482,3.963885086,4.980821885,UP
Hspe1,heat shock protein 1 (chaperonin 10),1,-1.01622211,★,0.021780644,6.084569832,5.068347722,DOWN
Ndufa8,NADH:ubiquinone oxidoreductase subunit A8,2,-1.015848216,★,0.002777904,8.845036181,7.829187966,DOWN
Gata2,GATA binding protein 2,6,1.014810075,★,0.009685535,5.81503047,6.829840545,UP
Rpl9-ps6,"ribosomal protein L9, pseudogene 6",,-1.01450634,★,0.036199307,8.626071355,7.611565016,DOWN
Pdk2,"pyruvate dehydrogenase kinase, isoenzyme 2",11,1.012934666,★,0.021964086,4.314243775,5.327178441,UP
Tie1,tyrosine kinase with immunoglobulin-like and EGF-l...,4,1.011427488,★,0.004878072,8.427687966,9.439115454,UP
C1d,C1D nuclear receptor co-repressor,11,-1.01100999,★,0.005585403,8.18077011,7.16976012,DOWN
Cdc42ep1,CDC42 effector protein (Rho GTPase binding) 1,15,1.009472314,★,0.001724324,8.412162599,9.421634914,UP
Dll4,delta like canonical Notch ligand 4,2,1.009268235,★,0.002754523,7.655862447,8.665130682,UP
Wbp2,WW domain binding protein 2,11,1.009218569,★,0.008054082,6.031469716,7.040688284,UP
Coa3,cytochrome C oxidase assembly factor 3,11,-1.008601643,★,0.007748044,7.961848469,6.953246826,DOWN
B2m,beta-2 microglobulin,2,1.007595299,★,0.026838706,12.15044241,13.15803771,UP
Gpaa1,GPI anchor attachment protein 1,15,1.007420922,★,0.012639816,5.06638898,6.073809902,UP
Notch1,notch 1,2,1.006109949,★,0.003118025,8.048591016,9.054700965,UP
Ubap2l,ubiquitin-associated protein 2-like,3,1.005695232,★,0.03748855,3.552699838,4.55839507,UP
Zfp574,zinc finger protein 574,7,1.004892573,★,0.03748855,3.822098908,4.82699148,UP
Prpf8,pre-mRNA processing factor 8,11,1.004767697,★,0.006832257,6.53465535,7.539423047,UP
Gnas,"GNAS (guanine nucleotide binding protein, alpha st...",2,1.004312828,★,0.00536541,7.198625855,8.202938683,UP
Sptssa,"serine palmitoyltransferase, small subunit A",12,-1.004301203,★,0.0032852,9.277910973,8.273609771,DOWN
Mrpl53,mitochondrial ribosomal protein L53,6,-1.004116173,★,0.040550863,6.284828848,5.280712676,DOWN
Aldh2,"aldehyde dehydrogenase 2, mitochondrial",5,1.004111301,★,0.009840522,6.696122994,7.700234295,UP
Repin1,replication initiator 1,6,1.003485416,★,0.032922544,3.69866205,4.702147466,UP
Vps18,VPS18 CORVET/HOPS core subunit,2,1.00264801,★,0.027864459,3.869263726,4.871911736,UP
Nedd4,"neural precursor cell expressed, developmentally d...",9,1.002547904,★,0.007160869,6.939239253,7.941787157,UP
Slc1a1,solute carrier family 1 (neuronal/epithelial high ...,19,1.001888707,★,0.013681059,5.342512762,6.344401469,UP
Pitpnm2,"phosphatidylinositol transfer protein, membrane-as...",5,1.001251969,★,0.0355352,4.176183686,5.177435655,UP
Ppp1r15a,"protein phosphatase 1, regulatory subunit 15A",7,1.000889742,★,0.041221356,3.661221054,4.662110796,UP
Cox7a2,cytochrome c oxidase subunit 7A2,9,-1.000792316,★,0.010567753,8.28325424,7.282461924,DOWN
